Log file produced by: Storyboard Pro (StoryboardPro.exe) version 25.0.0 build 23967 2025-06-05 18:44:20
﻿2026-04-01 17:48:18;ACTION;Start Paste Panel(s) (SBU_SboardUtil.cpp,5019)
﻿  2026-04-01 17:48:18;Create;C:/Users/JTR/AppData/Local/Temp/ToonBoomSessionTempDir/1700/elements/1.d/d-47.tvg; OK 
﻿  2026-04-01 17:48:18;ACTION;Start DropModels (DD_System.cpp,1703)
﻿  2026-04-01 17:48:18;ACTION;End DropModels (DD_System.cpp,1703)
﻿  2026-04-01 17:48:18;ACTION;end accum (CO_CommandManager.cpp,489)
﻿  2026-04-01 17:48:18;ACTION;end accum (CO_CommandManager.cpp,489)
﻿  2026-04-01 17:48:18;ACTION;end accum (CO_CommandManager.cpp,489)
﻿  2026-04-01 17:48:18;ACTION;end accum (CO_CommandManager.cpp,489)
﻿  2026-04-01 17:48:18;ACTION;end accum (CO_CommandManager.cpp,489)
﻿  2026-04-01 17:48:18;ACTION;end accum (CO_CommandManager.cpp,489)
﻿  2026-04-01 17:48:18;ACTION;end accum (CO_CommandManager.cpp,489)
﻿  2026-04-01 17:48:18;ACTION;end accum (CO_CommandManager.cpp,489)
﻿  2026-04-01 17:48:18;ACTION;end accum (CO_CommandManager.cpp,489)
﻿2026-04-01 17:48:18;ACTION;End Paste Panel(s) (SBU_SboardUtil.cpp,5019)
﻿2026-04-01 17:48:22;ACTION;begin accum Delete Panel (CO_CommandManager.cpp,253)
﻿2026-04-01 17:48:22;ACTION;end accum (CO_CommandManager.cpp,489)
﻿2026-04-01 17:48:22;ACTION;end accum (CO_CommandManager.cpp,489)
﻿2026-04-01 17:48:22;ACTION;end accum (CO_CommandManager.cpp,489)
﻿2026-04-01 17:48:22;ACTION;end accum (CO_CommandManager.cpp,489)
﻿2026-04-01 17:49:41;Delete;C:/Users/JTR/AppData/Roaming/Toon Boom Animation/Toon Boom Storyboard Pro/full-2500-pref/Storyboard Pro-pref.xml~; OK 
﻿2026-04-01 17:49:41;Rename;C:/Users/JTR/AppData/Roaming/Toon Boom Animation/Toon Boom Storyboard Pro/full-2500-pref/Storyboard Pro-pref.xml;Storyboard Pro-pref.xml~ OK 
﻿2026-04-01 17:49:41;Rename;C:/Users/JTR/AppData/Roaming/Toon Boom Animation/Toon Boom Storyboard Pro/full-2500-pref/Storyboard Pro-pref.xml+;Storyboard Pro-pref.xml OK 
﻿2026-04-01 17:50:03;Delete;C:/Users/JTR/AppData/Roaming/Toon Boom Animation/Toon Boom Storyboard Pro/full-2500-pref/Storyboard Pro-pref.xml~; OK 
﻿2026-04-01 17:50:03;Rename;C:/Users/JTR/AppData/Roaming/Toon Boom Animation/Toon Boom Storyboard Pro/full-2500-pref/Storyboard Pro-pref.xml;Storyboard Pro-pref.xml~ OK 
﻿2026-04-01 17:50:03;Rename;C:/Users/JTR/AppData/Roaming/Toon Boom Animation/Toon Boom Storyboard Pro/full-2500-pref/Storyboard Pro-pref.xml+;Storyboard Pro-pref.xml OK 
﻿2026-04-01 17:50:19;ACTION;Start Saving project
﻿  2026-04-01 17:50:19;ACTION;Start isSaveProjectPossible (SC_SaveUtil.cpp,335)
﻿    2026-04-01 17:50:19;Create;C:/Users/JTR/OneDrive/문서/Toon Boom Storyboard Pro Library/ACTcidentMAIN-260401/ACTcidentMAIN-260401.sboard+; OK 
﻿    2026-04-01 17:50:19;Delete;C:/Users/JTR/OneDrive/문서/Toon Boom Storyboard Pro Library/ACTcidentMAIN-260401/ACTcidentMAIN-260401.sboard+; OK 
﻿  2026-04-01 17:50:19;ACTION;End isSaveProjectPossible (SC_SaveUtil.cpp,335)
